true_label,pred_cluster,embedding_dim0,embedding_dim1
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
0,4,-0.14051099,-0.14401628
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.14328758,-0.15244319
27,5,0.14328758,-0.15244319
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
27,5,0.1432876,-0.15244317
